1,"Grêmio","Porto Alegre",RS,Sul
2,Santos,Santos,SP,Sudeste
3,"Atlético Mineiro","Belo Horizonte",MG,Sudeste
4,Palmeiras,"São Paulo",SP,Sudeste
5,Cruzeiro,"Belo Horizonte",MG,Sudeste
6,Botafogo,"Rio de Janeiro",RJ,Sudeste
7,Fluminense,"Rio de Janeiro",RJ,Sudeste
8,Flamengo,"Rio de Janeiro",RJ,Sudeste
9,Internacional,"Porto Alegre",RS,Sul
10,"São Paulo","São Paulo",SP,Sudeste
11,Corinthians,"São Paulo",SP,Sudeste
12,"Vasco da Gama","Rio de Janeiro",RJ,Sudeste
13,Bahia,Salvador,BA,Nordeste
14,"Athletico Paranaense",Curitiba,PR,Sul
15,Sport,Recife,PE,Nordeste
16,"Goiás","Goiânia",GO,Centro-Oeste
17,Coritiba,Curitiba,PR,Sul
18,"Vitória",Salvador,BA,Nordeste
19,Portuguesa,"São Paulo",SP,Sudeste
20,"Náutico",Recife,PE,Nordeste
21,Guarani,Campinas,SP,Sudeste
22,"Ceará",Fortaleza,CE,Nordeste
23,Paysandu,"Belém",PA,Norte
24,Fortaleza,Fortaleza,CE,Nordeste
25,"Ponte Preta",Campinas,SP,Sudeste
26,"Santa Cruz",Recife,PE,Nordeste
27,Juventude,"Caxias do Sul",RS,Sul
28,"América Mineiro","Belo Horizonte",MG,Sudeste
29,CSA,"Maceió",AL,Nordeste
30,America-RJ,"Rio de Janeiro",RJ,Sudeste
31,Figueirense,"Florianópolis",SC,Sul
32,Remo,"Belém",PA,Norte
33,"Paraná",Curitiba,PR,Sul
34,Nacional-AM,Manaus,AM,Norte
35,"América-RN",Natal,RN,Nordeste
36,"Red Bull Bragantino [RBB]","Bragança Paulista",SP,Sudeste
37,"Desportiva Capixaba",Cariacica,ES,Sudeste
38,"Criciúma","Criciúma",SC,Sul
39,ABC,Natal,RN,Nordeste
40,"Atlético Goianiense","Goiânia",GO,Centro-Oeste
41,"Rio Branco-ES","Vitória",ES,Sudeste
42,"Sampaio Corrêa","São Luís",MA,Nordeste
43,Joinville,Joinville,SC,Sul
44,Sergipe,Aracaju,SE,Nordeste
45,CRB,"Maceió",AL,Nordeste
46,"Avaí","Florianópolis",SC,Sul
47,"Moto Club","São Luís",MA,Nordeste
48,Bangu,"Rio de Janeiro",RJ,Sudeste
49,"Campinense [CAM]","Campina Grande",PB,Nordeste
50,"Operário-MS","Campo Grande",MS,Centro-Oeste
51,"Vila Nova","Goiânia",GO,Centro-Oeste
52,"Treze [TRE]","Campina Grande",PB,Nordeste
53,Chapecoense,"Chapecó",SC,Sul
54,Americano,"Campos dos Goytacazes",RJ,Sudeste
55,"Confiança",Aracaju,SE,Nordeste
56,River-PI,Teresina,PI,Nordeste
57,Mixto,"Cuiabá",MT,Centro-Oeste
58,Londrina,Londrina,PR,Sul
59,"São Caetano","São Caetano do Sul",SP,Sudeste
60,"Rio Negro-AM",Manaus,AM,Norte
61,Botafogo-PB,"João Pessoa",PB,Nordeste
62,"Inter de Limeira",Limeira,SP,Sudeste
63,Flamengo-PI,Teresina,PI,Nordeste
64,"Brasília","Brasília",DF,Centro-Oeste
65,Botafogo-SP,"Ribeirão Preto",SP,Sudeste
66,Gama,Gama,DF,Centro-Oeste
67,"Ferroviário",Fortaleza,CE,Nordeste
68,"Grêmio Maringá","Maringá",PR,Sul
69,Uberaba,Uberaba,MG,Sudeste
70,Goytacaz,"Campos dos Goytacazes",RJ,Sudeste
71,Comercial-MS,"Campo Grande",MS,Centro-Oeste
72,Itabaiana,Itabaiana,SE,Nordeste
73,Tiradentes-PI,Teresina,PI,Nordeste
74,"Colorado †",Curitiba,PR,Sul
75,"Metropol †","Criciúma",SC,Sul
76,"Tuna Luso","Belém",PA,Norte
77,Anapolina,"Anápolis",GO,Centro-Oeste
78,Caxias,"Caxias do Sul",RS,Sul
79,"GE Brasil",Pelotas,RS,Sul
80,"União São João",Araras,SP,Sudeste
81,"Uberlândia","Uberlândia",MG,Sudeste
82,"Fluminense de Feira","Feira de Santana",BA,Nordeste
83,"Operário-MT","Várzea Grande",MT,Centro-Oeste
84,"Goiânia","Goiânia",GO,Centro-Oeste
85,"Cuiabá","Cuiabá",MT,Centro-Oeste
86,"Piauí",Teresina,PI,Nordeste
87,"XV de Piracicaba",Piracicaba,SP,Sudeste
88,"Volta Redonda","Volta Redonda",RJ,Sudeste
89,"Maranhão","São Luís",MA,Nordeste
90,"Leônico [LEO]","Simões Filho",BA,Nordeste
91,"Villa Nova-MG","Nova Lima",MG,Sudeste
92,"Fast Clube",Manaus,AM,Norte
93,Alecrim,Natal,RN,Nordeste
94,"São Paulo-RS","Rio Grande",RS,Sul
95,"Dom Bosco","Cuiabá",MT,Centro-Oeste
96,"CEUB †","Brasília",DF,Centro-Oeste
97,"Ferroviário-PR †",Curitiba,PR,Sul
98,"Fonseca †","Niterói",RJ,Sudeste
99,"Rabello †","Brasília",DF,Centro-Oeste
100,Central,Caruaru,PE,Nordeste
101,"Santo André","Santo André",SP,Sudeste
102,"América-SP","São José do Rio Preto",SP,Sudeste
103,"Campo Grande-RJ","Rio de Janeiro",RJ,Sudeste
104,"Grêmio Barueri [GBA]",Barueri,SP,Sudeste
105,Pinheiros-PR,Curitiba,PR,Sul
106,"São José-SP","São José dos Campos",SP,Sudeste
107,Itabuna,Itabuna,BA,Nordeste
108,Comercial,"Ribeirão Preto",SP,Sudeste
109,"Galícia",Salvador,BA,Nordeste
110,Capelense,Capela,AL,Nordeste
111,Olaria,"Rio de Janeiro",RJ,Sudeste
112,"XV de Jaú","Jaú",SP,Sudeste
113,"Santa Cruz-SE †","Estância",SE,Nordeste
114,"Santo Antônio †","Vitória",ES,Sudeste
115,Juventus-SP,"São Paulo",SP,Sudeste
116,"Operário Ferroviário","Ponta Grossa",PR,Sul
117,Catuense,Catu,BA,Nordeste
118,"Novo Hamburgo","Novo Hamburgo",RS,Sul
119,ASA,Arapiraca,AL,Nordeste
120,Brasiliense,Taguatinga,DF,Centro-Oeste
121,Itumbiara,Itumbiara,GO,Centro-Oeste
122,Bandeirante-DF,Taguatinga,DF,Centro-Oeste
123,"Ipatinga [IPA]",Ipatinga,MG,Sudeste
124,Noroeste,Bauru,SP,Sudeste
125,"Ferroviária",Araraquara,SP,Sudeste
126,"São Bento",Sorocaba,SP,Sudeste
127,"Anápolis","Anápolis",GO,Centro-Oeste
128,"Vitória-ES","Vitória",ES,Sudeste
129,"AA Colatina †",Colatina,ES,Sudeste
130,"CR Guará","Guará",DF,Centro-Oeste
