ID,clube,nome_completo,cidade,UF,região,ano_fundação,cores,ID_Ogol
1,Grêmio,Clubes,Porto Alegre,RS,Sul,N/A,N/A,N/A
2,Santos,Santos,Santos,SP,Sudeste,1912,N/A,N/A
3,Atlético Mineiro,Clubes,Belo Horizonte,MG,Sudeste,N/A,N/A,N/A
4,Palmeiras,Palmeiras,São Paulo,SP,Sudeste,1914,N/A,N/A
5,Cruzeiro,Cruzeiro,Belo Horizonte,MG,Sudeste,1921,"CruzeiroO Cruzeiro foi fundado no dia 02 de janeiro de 1921 pela colônia italiana em Belo Horizonte como Societá Sportiva Palestra Itália. As cores do clube eram as mesmas da bandeira italiana: verde, vermelho e branco.",N/A
6,Botafogo,Botafogo,Rio de Janeiro,RJ,Sudeste,1904,N/A,N/A
7,Fluminense,Fluminense,Rio de Janeiro,RJ,Sudeste,1902,N/A,N/A
8,Flamengo,Flamengo,Rio de Janeiro,RJ,Sudeste,1895,N/A,N/A
9,Internacional,Internacional,Porto Alegre,RS,Sul,1909,N/A,N/A
10,São Paulo,Clubes,São Paulo,SP,Sudeste,N/A,N/A,N/A
11,Corinthians,Corinthians,São Paulo,SP,Sudeste,1910,N/A,N/A
12,Vasco da Gama,Clubes,Rio de Janeiro,RJ,Sudeste,N/A,N/A,N/A
13,Bahia,Clubes,Salvador,BA,Nordeste,N/A,N/A,N/A
14,Athletico Paranaense,Athletico Paranaense,Curitiba,PR,Sul,1924,N/A,N/A
15,Sport,Clubes,Recife,PE,Nordeste,N/A,N/A,N/A
16,Goiás,Clubes,Goiânia,GO,Centro-Oeste,N/A,N/A,N/A
17,Coritiba,Clubes,Curitiba,PR,Sul,N/A,N/A,N/A
18,Vitória,Clubes,Salvador,BA,Nordeste,N/A,N/A,N/A
19,Portuguesa,Clubes,São Paulo,SP,Sudeste,N/A,N/A,N/A
20,Náutico,Clubes,Recife,PE,Nordeste,N/A,N/A,N/A
21,Guarani,Guarani,Campinas,SP,Sudeste,1911,N/A,N/A
22,Ceará,Clubes,Fortaleza,CE,Nordeste,N/A,N/A,N/A
23,Paysandu,Clubes,Belém,PA,Norte,N/A,N/A,N/A
