Nome,Primeira_Alcunha,Mascote,Fundação
Grêmio Foot-Ball Porto Alegrense,Imortal Tricolor,Mosqueteiro[3]Flecha Negra[4],15 de setembrode1903(121 anos)
Santos Futebol Clube,Peixe / Peixão,Baleinha e Baleião,14 de abril de 1912
Clube Atlético Mineiro,Galo,Galo,25 de marçode1908(117 anos)
Sociedade Esportiva Palmeiras,Verdão,PeriquitoPorco,26 de agosto de 1914
Cruzeiro Esporte Clube,Rei de Copas,Raposão e Raposinho,2 de janeiro de 1921
Botafogo de Futebol e Regatas,Fogo / Fogão,Cachorro(Biriba)[carece de fontes?]ManequinhoPato Donald,Regatas:01 de julhode1894(130 anos)Futebol:12 de agostode1904(120 anos)Fusão:08 de dezembrode1942(82 anos)SAF:03 de janeirode2022(3 anos)
Fluminense Football Club,Flu,Cartola(1943–2015)Guerreiro(2016–presente),21 de julho de 1902
Clube de Regatas do Flamengo,Fla,UrubuSamucaUruba e UrubinhaPopeye,15 de novembro de 1895
Sport Club Internacional,Inter,Saci,4 de abrilde1909(116 anos)
São Paulo Futebol Clube,,Santo Paulo (Paulo de Tarso),25 de janeirode1930(95 anos)[5]
Sport Club Corinthians Paulista,Timão,Mosqueteiro,1 de setembro de 1910
Club de Regatas Vasco da Gama,Legítimo Clube do Povo,AlmiranteBacalhauDomCorvoI e Único,21 de agostode1898(126 anos)
Esporte Clube Bahia,Bahêa,Super-HomemMulher Maravilha(Lindona da Bahêa),1 de janeirode1931(94 anos)
Club Athletico Paranaense,,Furacão(popular)Família Furacão(oficial)[3]Cartola(antigo),26 de marçode1924(101 anos)
Sport Club do Recife,,Leão,13 de maiode1905(120 anos)
Goiás Esporte Clube,,Periquito,6 de abrilde1943(82 anos)
Coritiba Foot Ball Club,,Vovô Coxa[8],12 de outubrode1909(115 anos)[12]
Esporte Clube Vitória,,Leão,13 de maiode1899(126 anos)
Associação Portuguesa de Desportos,,LeãoSevera,14 de agostode1920(104 anos)[1]
Clube Náutico Capibaribe,Timbu Coroado,Timbu Rei,7 de abrilde1901(124 anos)
Guarani Futebol Clube,,Índio,2 de abrilde1911(114 anos)[3]
Ceará Sporting Club,,Vovô,2 de junhode1914(111 anos)
Paysandu Sport Club,,LoboBicho Papão,2 de fevereirode1914(111 anos)
Fortaleza Esporte Clube,,Juba (leão) e Stella (leoa),18 de outubrode1918(106 anos)
Associação Atlética Ponte Preta,,Macaca,11 de agostode1900(124 anos)[5]
Santa Cruz Futebol Clube,,Cobra-coral,3 de fevereirode1914(111 anos)
Esporte Clube Juventude,,Periquito,29 de junhode1913(111 anos)
América Futebol Clube,Coelho,Coelho,30 de abril de 1912
Centro Sportivo Alagoano,,AzulãoMarujo,7 de setembrode1913(111 anos)
America Football Club (Rio de Janeiro),,Brasinha,18 de setembrode1904(120 anos)
Figueirense Futebol Clube,,Furacão,12 de junhode1921(103 anos)
Clube do Remo,,Leão,5 de fevereirode1905(120 anos)
Paraná Clube,,Gralha-azul,19 de dezembrode1989(35 anos)
Nacional Futebol Clube (Amazonas),,Águia e Leão,13 de janeirode1913(112 anos)
América Futebol Clube (Rio Grande do Norte),,Dragão,14 de julhode1915(109 anos)
Red Bull Bragantino,Braga,Leão(Massa Bruta)Touro(Toro Loko)[7],8 de janeirode1928(97 anos) como Clube Atlético Bragantino1 de janeirode2020(5 anos) como Red Bull Bragantino[9]
