Estádio,Capacidade,Localização
Arena do Grêmio[5],60.540,"Porto Alegre,Rio Grande do Sul,Brasil"
Vila Belmiro,17.92320.360,"Santos,São Paulo,Brasil"
Arena MRV,46.0005,"Belo Horizonte,Minas Gerais,Brasil"
Allianz Parque,437131,"São Paulo,São Paulo,Brasil"
Mineirão,62000,"Belo Horizonte,Minas Gerais,Brasil"
Nilton Santos,468314,"Rio de Janeiro,Rio de Janeiro,Brasil"
Manoel Schwartz (Laranjeiras),8.000,"Rio de Janeiro,Rio de Janeiro,Brasil"
Gávea,40003,"Rio de Janeiro,Rio de Janeiro,Brasil"
Beira-Rio,501281,"Porto Alegre,Rio Grande do Sul,Brasil"
MorumBIS,6679567,"São Paulo,São Paulo,Brasil"
Neo Química ArenaParque São Jorge,48905118500,"São Paulo,São Paulo,Brasil"
São Januário,20.4193,"Bairro Vasco da Gama,Rio de Janeiro,Brasil"
N/A,N/A,"Salvador,Bahia,Brasil"
Ligga Arena,42.3724,"Curitiba,Paraná,Brasil"
Ilha do Retiro,26.4181,"Recife,Pernambuco,Brasil"
Serrinha,14.5252,"Goiânia,Goiás,Brasil"
Major Antônio Couto Pereira[13],40.5021415,"Curitiba,Paraná,Brasil"
Barradão[12],30.79313,"Salvador,Bahia,Brasil"
Canindé,22.004,"São Paulo,São Paulo,Brasil"
Aflitos,22.856,"Recife,Pernambuco,Brasil"
Brinco de Ouro[4],20.580,"Campinas,São Paulo,Brasil"
Carlos de Alencar Pinto,5000,"Fortaleza,Ceará,Brasil"
Curuzu(próprio)Mangueirão(mando),1620053635,"Belém,Pará,Brasil"
Alcides Santos,N/A,"Fortaleza,Ceará,Brasil"
Moisés Lucarelli(Majestoso),17.7286,"Campinas,São Paulo,Brasil"
Arruda,60.044,"Recife,Pernambuco,Brasil"
Alfredo Jaconi,19924,"Caxias do Sul,Rio Grande do Sul,Brasil"
Independência,23.018,"Belo Horizonte,Minas Gerais,Brasil"
Rei Pelé,20.0001,"Maceió,Alagoas,Brasil"
Giulite Coutinho,13.544,N/A
Orlando Scarpelli,19.5841,"Florianópolis,Santa Catarina,Brasil"
Banpará Baenão,13.792,"Belém,Pará,Brasil"
Vila Capanema,17.140,"Curitiba,Paraná,Brasil"
