apelido,cidade,estado,fundacao,mandante,nome,pais
Apelidos,Cidade,Estado,Ano de Fundação,Bahia,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Atlético Mineiro,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Botafogo,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Santa Cruz,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Sport,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,São Paulo,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Internacional,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Palmeiras,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Ceará,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Coritiba,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Sport,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Bahia,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,America-RJ,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Ceará,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Cruzeiro,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Santa Cruz,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,América Mineiro,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Grêmio,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Flamengo,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Santos,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Cruzeiro,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Bahia,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Ceará,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Fluminense,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Corinthians,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Coritiba,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,América Mineiro,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Santos,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Fluminense,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Bahia,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Ceará,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Coritiba,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Flamengo,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Corinthians,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Internacional,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Santos,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Grêmio,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Sport,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Vasco,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Palmeiras,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Coritiba,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Santa Cruz,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Atlético Mineiro,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Grêmio,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Botafogo,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Flamengo,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Corinthians,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Sport,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Bahia,Nome,País
Apelidos,Cidade,Estado,Ano de Fundação,Coritiba,Nome,País
