id,nome,nascimento,falecimento,nacionalidade,naturalidade,situacao
1,José Marçal Filho,-,,Brasil,,
2,Juan de la Pasión Artes,-,,Brasil,,
3,Valquir Pimentel,-,,Brasil,,
4,José Aldo Pereira,-,,Brasil,,
5,Emidio Marques de Mesquita,20/03/1944,,Brasil,,
6,Arnaldo David Cezar Coelho,15/01/1943,,Brasil,Rio de Janeiro,
7,José Faville Neto,-,,Brasil,São Paulo,
8,Dulcídio Wanderley Boschilia,21/04/1905,14/05/1998,Brasil,,
9,Oscar Scolfaro,20/04/1905,09/09/2017,Brasil,,
10,Romualdo Arppi Filho,07/01/1939,05/03/2023,Brasil,Santos ,
11,José Luis Barreto,-,,Brasil,,
12,Luis Carlos Félix Ferreira,11/05/1940,,Brasil,Rio de Janeiro,
13,Garibaldo Matos,-,,Brasil,,
14,Sebastião Rufino Ribeiro,-,,Brasil,,Aposentado
15,Agomar Martins Röhrig,23/03/1931,,Brasil,,Aposentado
16,José Mário Vinhas,-,,Brasil,,Em atividade
17,Manoel Amaro de Lima,05/10/1946,09/05/2009,Brasil,Murici,
18,Joaquim Gonçalves Da Silva,-,,Brasil,,Aposentado
19,José Carlos Cavalheiro de Moraes,17/04/1905,03/06/2011,Brasil,,
20,Armando Nunes Castanheira da Rosa Marques,06/03/1930,,Brasil,Rio de Janeiro,Aposentado
21,Nivaldo dos Santos,-,,Brasil,,Aposentado
