partida_id,arbitro_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,6
12,10
13,
14,1
15,
16,
17,
18,
19,6
20,8
21,
22,
23,
24,
25,
26,11
27,
28,
29,
30,4
31,
32,
33,7
34,
35,4
36,
37,9
38,
39,
40,
41,6
42,10
43,12
44,3
45,13
46,1
47,7
48,5
49,
50,7
51,
52,
53,
54,
55,14
56,1
57,
58,6
59,5
60,
61,
62,
63,7
64,8
65,7
66,11
67,6
68,5
69,10
70,
71,
72,4
73,15
74,
75,10
76,6
77,
78,16
79,15
80,4
81,17
82,6
83,1
84,5
85,9
86,12
87,15
88,18
89,7
90,19
91,8
92,4
93,19
94,
95,
96,5
97,20
98,21
99,
100,9
101,1
102,22
103,5
104,10
105,19
106,7
107,21
108,4
109,20
110,6
111,23
112,
113,7
114,16
115,6
116,20
117,19
118,1
119,14
120,
121,10
122,5
123,24
124,20
125,10
126,3
127,15
128,21
129,7
130,1
131,20
132,9
133,8
134,16
135,5
136,
137,20
138,10
139,
140,8
141,15
142,20
143,6
144,22
145,25
146,5
147,16
148,18
149,9
150,1
151,10
152,14
153,20
154,17
155,15
156,2
157,19
158,22
159,
160,10
161,8
162,15
163,5
164,
165,
166,9
167,4
168,1
169,12
170,10
171,7
172,19
173,6
174,11
175,15
176,14
177,
178,20
179,
180,
181,
182,26
183,20
184,11
185,1
186,6
187,9
188,15
189,
190,7
191,
192,1
193,7
194,10
195,9
196,20
197,6
198,11
199,15
200,8
201,22
202,20
203,
204,6
205,7
206,9
207,
208,1
209,14
210,19
211,6
212,20
213,
214,7
215,7
216,
217,20
218,21
219,6
220,8
221,11
222,15
223,
224,20
225,6
226,14
227,20
228,20
229,20
