id,clube,apelido,local_id,fundacao,ativo
1,Esporte Clube Bahia,"Tricolor de Aço, Esquadrão de Aço",1,01/01/1931,1
2,Santos Futebol Clube,Peixe,2,14/04/1912,1
3,Clube Atlético Mineiro,Galo,3,25/03/1908,1
4,América Futebol Clube,Coelho,3,30/04/1912,1
5,Botafogo de Futebol e Regatas,"Fogão, Estrela Solitária, Time de General Severiano, O Glorioso",4,12/08/1904,1
6,America Football Club,"Rubro, Mecão, Diabo, Sangue",4,18/09/1904,1
7,Santa Cruz Futebol Clube,"Santa, Santinha, Tricolor do Arruda, O Mais Querido, Cobra Coral",5,03/02/1914,1
8,Sport Club Corinthians Paulista,"Timão, Coringão",6,01/09/1910,1
9,Sport Club do Recife,"Leão da Ilha, Leão do Norte, Leão da Praça da Bandeira",5,13/05/1905,1
10,Clube de Regatas do Flamengo,"Mengão, Fla, Rubro-Negro",4,15/11/1895,1
11,São Paulo Futebol Clube,Tricolor Paulista,6,25/01/1930,1
12,Grêmio Foot-Ball Porto Alegrense,"Tricolor dos Pampas, Imortal Tricolor, Máquina Tricolor",7,15/09/1903,1
13,Sport Club Internacional,Colorado,7,04/04/1909,1
14,Fluminense Football Club,"Tricolor das Laranjeiras, Flu, Time de Guerreiros, Fluzão, Pó de Arroz",4,21/07/1902,1
15,Sociedade Esportiva Palmeiras,"Verdão, Alviverde",6,26/08/1914,1
16,Associação Portuguesa de Desportos,Lusa,6,14/08/1920,1
17,Ceará Sporting Club,Vozão,8,02/06/1914,1
18,Club de Regatas Vasco da Gama,"Gigante da Colina, Vascão",4,21/08/1898,1
19,Coritiba Foot Ball Club,Coxa,9,12/10/1909,1
20,Cruzeiro Esporte Clube,Raposa,3,02/01/1921,1
