id,edicao_id,campeonato_id,data,hora,fase,grupo,rodada,estadio_id,mandante_id,visitante_id,mandante_placar,visitante_placar,mandante_grupo,visitante_grupo,mandante_penalti,visitante_penalti,prorrogacao
1,1,1,07/08/1971,,Primeira fase,B,1,1,1,2,0,0,,,,,0
2,1,1,07/08/1971,,Primeira fase,B,1,2,3,4,1,1,,,,,0
3,1,1,07/08/1971,,Primeira fase,B,1,3,5,6,0,0,,,,,0
4,1,1,07/08/1971,,Primeira fase,A,1,4,7,8,1,4,,,,,0
5,1,1,07/08/1971,,Primeira fase,B,1,4,9,10,1,0,,,,,0
6,1,1,07/08/1971,,Primeira fase,B,1,5,11,12,0,3,,,,,0
7,1,1,07/08/1971,,Primeira fase,A,1,,13,14,0,0,,,,,0
8,1,1,07/08/1971,,Primeira fase,A,1,6,15,16,1,0,,,,,0
9,1,1,07/08/1971,,Primeira fase,A,1,7,17,18,0,0,,,,,0
10,1,1,07/08/1971,,Primeira fase,A,1,8,19,20,0,2,,,,,0
11,1,1,11/08/1971,,Primeira fase,B,2,,9,2,0,2,,,,,0
12,1,1,11/08/1971,,Primeira fase,B,2,9,1,10,1,1,,,,,0
13,1,1,11/08/1971,,Primeira fase,B,2,3,6,12,0,2,,,,,0
14,1,1,11/08/1971,,Primeira fase,A,2,,17,8,0,1,,,,,0
15,1,1,11/08/1971,,Primeira fase,A,2,2,20,16,2,1,,,,,0
16,1,1,12/08/1971,,Primeira fase,A,2,,7,18,1,0,,,,,0
17,1,1,14/08/1971,,Primeira fase,B,3,2,4,6,1,1,,,,,0
18,1,1,14/08/1971,,Primeira fase,B,3,,12,3,1,1,,,,,0
19,1,1,14/08/1971,,Primeira fase,B,3,3,10,5,1,1,,,,,0
20,1,1,14/08/1971,,Primeira fase,B,3,5,2,11,3,1,,,,,0
21,1,1,15/08/1971,,Primeira fase,A,3,2,20,13,2,0,,,,,0
22,1,1,15/08/1971,,Primeira fase,B,3,,1,9,3,0,,,,,0
23,1,1,15/08/1971,,Primeira fase,A,3,,17,7,0,0,,,,,0
24,1,1,15/08/1971,,Primeira fase,A,3,,14,18,0,1,,,,,0
