ID,cidade,UF,regiao,pais
1,"Porto Alegre",RS,Sul,Brasil
2,Santos,SP,Sudeste,Brasil
3,"Belo Horizonte",MG,Sudeste,Brasil
4,"São Paulo",SP,Sudeste,Brasil
5,"Rio de Janeiro",RJ,Sudeste,Brasil
6,Salvador,BA,Nordeste,Brasil
7,Curitiba,PR,Sul,Brasil
8,Recife,PE,Nordeste,Brasil
9,"Goiânia",GO,Centro-Oeste,Brasil
10,Campinas,SP,Sudeste,Brasil
11,Fortaleza,CE,Nordeste,Brasil
12,"Belém",PA,Norte,Brasil
13,"Caxias do Sul",RS,Sul,Brasil
14,"Maceió",AL,Nordeste,Brasil
15,"Florianópolis",SC,Sul,Brasil
16,Manaus,AM,Norte,Brasil
17,Natal,RN,Nordeste,Brasil
18,"Bragança Paulista",SP,Sudeste,Brasil
19,Cariacica,ES,Sudeste,Brasil
20,"Criciúma",SC,Sul,Brasil
21,"Vitória",ES,Sudeste,Brasil
22,"São Luís",MA,Nordeste,Brasil
23,Joinville,SC,Sul,Brasil
24,Aracaju,SE,Nordeste,Brasil
25,"Campina Grande",PB,Nordeste,Brasil
26,"Campo Grande",MS,Centro-Oeste,Brasil
27,"Chapecó",SC,Sul,Brasil
28,"Campos dos Goytacazes",RJ,Sudeste,Brasil
29,Teresina,PI,Nordeste,Brasil
30,"Cuiabá",MT,Centro-Oeste,Brasil
31,Londrina,PR,Sul,Brasil
32,"São Caetano do Sul",SP,Sudeste,Brasil
33,"João Pessoa",PB,Nordeste,Brasil
34,Limeira,SP,Sudeste,Brasil
35,"Brasília",DF,Centro-Oeste,Brasil
36,"Ribeirão Preto",SP,Sudeste,Brasil
37,Gama,DF,Centro-Oeste,Brasil
38,"Maringá",PR,Sul,Brasil
39,Uberaba,MG,Sudeste,Brasil
40,Itabaiana,SE,Nordeste,Brasil
41,"Anápolis",GO,Centro-Oeste,Brasil
42,Pelotas,RS,Sul,Brasil
43,Araras,SP,Sudeste,Brasil
44,"Uberlândia",MG,Sudeste,Brasil
45,"Feira de Santana",BA,Nordeste,Brasil
46,"Várzea Grande",MT,Centro-Oeste,Brasil
47,Piracicaba,SP,Sudeste,Brasil
48,"Volta Redonda",RJ,Sudeste,Brasil
49,"Simões Filho",BA,Nordeste,Brasil
50,"Nova Lima",MG,Sudeste,Brasil
51,"Rio Grande",RS,Sul,Brasil
52,"Niterói",RJ,Sudeste,Brasil
53,Caruaru,PE,Nordeste,Brasil
54,"Santo André",SP,Sudeste,Brasil
55,"São José do Rio Preto",SP,Sudeste,Brasil
56,Barueri,SP,Sudeste,Brasil
57,"São José dos Campos",SP,Sudeste,Brasil
58,Itabuna,BA,Nordeste,Brasil
59,Capela,AL,Nordeste,Brasil
60,"Jaú",SP,Sudeste,Brasil
61,"Estância",SE,Nordeste,Brasil
62,"Ponta Grossa",PR,Sul,Brasil
63,Catu,BA,Nordeste,Brasil
64,"Novo Hamburgo",RS,Sul,Brasil
65,Arapiraca,AL,Nordeste,Brasil
66,Taguatinga,DF,Centro-Oeste,Brasil
67,Itumbiara,GO,Centro-Oeste,Brasil
68,Ipatinga,MG,Sudeste,Brasil
69,Bauru,SP,Sudeste,Brasil
70,Araraquara,SP,Sudeste,Brasil
71,Sorocaba,SP,Sudeste,Brasil
72,Colatina,ES,Sudeste,Brasil
