ID,edicao_id,estadio_id,data,hora,fase,mandante_id,visitante_id,mandante_placar,visitante_placar,mandante_penalti,visitante_penalti,prorrogacao
1,1,,07/08/1971,,1R,13,2,0,0,,,0
2,1,,07/08/1971,,1R,3,28,1,1,,,0
3,1,,07/08/1971,,1R,6,30,0,0,,,0
4,1,,07/08/1971,,1R,26,11,1,4,,,0
5,1,,07/08/1971,,1R,15,8,1,0,,,0
6,1,,07/08/1971,,1R,10,1,0,3,,,0
7,1,,07/08/1971,,1R,9,7,0,0,,,0
8,1,,07/08/1971,,1R,4,19,1,0,,,0
9,1,,07/08/1971,,1R,22,12,0,0,,,0
10,1,,07/08/1971,,1R,17,5,0,2,,,0
11,1,,11/08/1971,,1R,15,2,0,2,,,0
12,1,,11/08/1971,,1R,13,8,1,1,,,0
13,1,,11/08/1971,,1R,30,1,0,2,,,0
14,1,,11/08/1971,,1R,22,11,0,1,,,0
15,1,,11/08/1971,,1R,5,19,2,1,,,0
16,1,,12/08/1971,,1R,26,12,1,0,,,0
17,1,,14/08/1971,,1R,28,30,1,1,,,0
18,1,,14/08/1971,,1R,1,3,1,1,,,0
19,1,,14/08/1971,,1R,8,6,1,1,,,0
20,1,,14/08/1971,,1R,2,10,3,1,,,0
21,1,,15/08/1971,,1R,5,9,2,0,,,0
22,1,,15/08/1971,,1R,13,15,3,0,,,0
23,1,,15/08/1971,,1R,22,26,0,0,,,0
24,1,,15/08/1971,,1R,7,12,0,1,,,0
25,1,,15/08/1971,,1R,11,4,0,0,,,0
26,1,,15/08/1971,,1R,17,19,2,1,,,0
27,1,,18/08/1971,,1R,28,1,0,0,,,0
28,1,,18/08/1971,,1R,2,6,0,0,,,0
29,1,,18/08/1971,,1R,7,17,2,1,,,0
30,1,,18/08/1971,,1R,13,10,0,1,,,0
31,1,,21/08/1971,,1R,22,7,1,0,,,0
32,1,,21/08/1971,,1R,17,26,1,0,,,0
33,1,,21/08/1971,,1R,8,3,0,1,,,0
34,1,,21/08/1971,,1R,11,5,0,0,,,0
35,1,,21/08/1971,,1R,9,4,2,1,,,0
36,1,,22/08/1971,,1R,2,30,0,0,,,0
37,1,,22/08/1971,,1R,1,6,1,1,,,0
38,1,,22/08/1971,,1R,15,10,0,0,,,0
39,1,,22/08/1971,,1R,12,19,0,3,,,0
40,1,,25/08/1971,,1R,4,5,1,1,,,0
41,1,,25/08/1971,,1R,17,9,0,1,,,0
42,1,,25/08/1971,,1R,26,7,2,2,,,0
43,1,,25/08/1971,,1R,3,13,4,0,,,0
44,1,,25/08/1971,,1R,1,15,2,0,,,0
45,1,,25/08/1971,,1R,6,28,2,1,,,0
