partida_id,arbitro_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,6
12,10
13,
14,1
15,
16,
17,
18,
19,6
20,8
21,
22,
23,
24,
25,
26,11
27,
28,
29,
30,4
31,
32,
33,7
34,
35,4
36,
37,9
38,
39,
40,
41,6
42,10
43,12
44,3
45,13
46,1
47,7
48,5
49,
50,7
51,
52,
53,
54,
55,14
56,1
57,
58,6
59,5
60,
61,
62,
63,7
64,8
65,7
66,11
67,6
68,5
69,10
70,
71,
72,4
73,15
74,
75,10
76,6
77,
78,16
79,15
80,4
81,17
82,6
83,1
84,5
85,9
86,12
87,15
88,18
89,7
90,19
91,8
92,4
93,19
94,
95,
96,5
97,20
98,21
99,
100,9
101,1
102,22
103,5
104,10
105,19
106,7
107,21
108,4
109,20
110,6
111,23
112,
113,7
114,16
115,6
116,20
117,19
118,1
119,14
120,
121,10
122,5
123,24
124,20
125,10
126,3
127,15
128,21
129,7
130,1
131,20
132,9
133,8
134,16
135,5
136,
137,20
138,10
139,
140,8
141,15
142,20
143,6
144,22
145,25
146,5
147,16
148,18
149,9
150,1
151,10
152,14
153,20
154,17
155,15
156,2
157,19
158,22
159,
160,10
161,8
162,15
163,5
164,
165,
166,9
167,4
168,1
169,12
170,10
171,7
172,19
173,6
174,11
175,15
176,14
177,
178,20
179,
180,
181,
182,26
183,20
184,11
185,1
186,6
187,9
188,15
189,
190,7
191,
192,1
193,7
194,10
195,9
196,20
197,6
198,11
199,15
200,8
201,22
202,20
203,
204,6
205,7
206,9
207,
208,1
209,14
210,19
211,6
212,20
213,
214,7
215,7
216,
217,20
218,21
219,6
220,8
221,11
222,15
223,
224,20
225,6
226,14
227,20
228,20
229,20
230,
231,27
232,
233,
234,
235,
236,23
237,14
238,11
239,21
240,
241,
242,
243,9
244,
245,
246,
247,10
248,16
249,15
250,
251,7
252,
253,5
254,
255,
256,23
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,10
268,
269,
270,
271,28
272,6
273,
274,
275,15
276,
277,
278,
279,
280,
281,12
282,
283,1
284,
285,3
286,
287,15
288,
289,29
290,
291,22
292,
293,5
294,
295,
296,
297,
298,9
299,30
300,
301,
302,4
303,
304,
305,5
306,
307,6
308,
309,17
310,
311,
312,
313,
314,
315,
316,
317,
318,20
319,
320,6
321,23
322,
323,12
324,
325,
326,10
327,8
328,9
329,
330,
331,
332,20
333,
334,
335,31
336,32
337,6
338,20
339,
340,
341,
342,
343,
344,3
345,
346,
347,
348,33
349,7
350,
351,
352,
353,1
354,
355,
356,
357,
358,
359,
360,
361,3
362,
363,13
364,
365,9
366,6
367,
368,16
369,12
370,
371,30
372,
373,
374,
375,
376,
377,22
378,29
379,
380,
381,27
382,
383,
384,10
385,
386,34
387,7
388,35
389,
390,
391,
392,
393,
394,6
395,30
396,16
397,
398,3
399,
400,29
401,5
402,19
403,12
404,18
405,10
406,8
407,
408,14
409,9
410,26
411,14
412,23
413,34
414,16
415,
416,15
417,32
418,12
419,27
420,7
421,6
422,11
423,
424,17
425,8
426,29
427,19
428,5
429,20
430,1
431,13
432,9
433,
434,30
435,10
436,3
437,12
438,13
439,9
440,3
441,
442,32
443,8
444,15
445,26
446,30
447,29
448,6
449,19
450,36
451,21
452,1
453,7
454,23
455,35
456,10
457,11
458,
459,37
460,14
461,5
462,16
463,8
464,11
465,1
466,6
467,28
468,33
469,38
470,22
471,30
472,
473,7
474,15
475,26
476,29
477,10
478,6
479,3
480,20
481,39
482,16
483,14
484,17
485,32
486,23
487,40
488,9
489,5
490,22
491,26
492,6
493,41
494,
495,11
496,9
497,18
498,12
499,15
500,16
501,20
502,29
503,
504,25
505,30
506,9
507,
508,8
509,14
510,
511,
512,10
513,15
514,
515,3
516,11
517,13
518,6
519,20
520,14
521,5
522,
523,30
524,42
525,
526,15
527,1
528,17
529,34
530,7
531,29
532,8
533,
534,
535,23
536,
537,9
538,6
539,10
540,15
541,20
542,30
543,8
544,14
545,
546,15
547,16
548,
549,23
550,
