id,clube,apelido,local_id,fundacao,ativo
1,Esporte Clube Bahia,"Tricolor de Aço, Esquadrão de Aço",1,1931-01-01,1
2,Santos Futebol Clube,Peixe,2,1912-04-14,1
3,Clube Atlético Mineiro,Galo,3,1908-03-25,1
4,América Futebol Clube,Coelho,3,1912-04-30,1
5,Botafogo de Futebol e Regatas,"Fogão, Estrela Solitária, Time de General Severiano, O Glorioso",4,1904-08-12,1
6,America Football Club,"Rubro, Mecão, Diabo, Sangue",4,1904-09-18,1
7,Santa Cruz Futebol Clube,"Santa, Santinha, Tricolor do Arruda, O Mais Querido, Cobra Coral",5,1914-02-03,1
8,Sport Club Corinthians Paulista,"Timão, Coringão",6,1910-09-01,1
9,Sport Club do Recife,"Leão da Ilha, Leão do Norte, Leão da Praça da Bandeira",5,1905-05-13,1
10,Clube de Regatas do Flamengo,"Mengão, Fla, Rubro-Negro",4,1895-11-15,1
11,São Paulo Futebol Clube,Tricolor Paulista,6,1930-01-25,1
12,Grêmio Foot-Ball Porto Alegrense,"Tricolor dos Pampas, Imortal Tricolor, Máquina Tricolor",7,1903-09-15,1
13,Sport Club Internacional,Colorado,7,1909-04-04,1
14,Fluminense Football Club,"Tricolor das Laranjeiras, Flu, Time de Guerreiros, Fluzão, Pó de Arroz",4,1902-07-21,1
15,Sociedade Esportiva Palmeiras,"Verdão, Alviverde",6,1914-08-26,1
16,Associação Portuguesa de Desportos,Lusa,6,1920-08-14,1
