ID,campeonato_id,ano,data_inicio,data_fim,campeao_id,vice_id,criado_em
1,1,1971,07/08/1971,19/12/1971,3,11,18/11/2025
2,1,1972,09/09/1972,23/12/1972,15,5,
3,1,1973/74,25/08/1973,20/02/1974,15,11,
4,1,1974,09/03/1974,01/08/1974,18,20,
5,1,1975,20/08/1975,14/12/1975,13,20,
6,1,1976,29/08/1976,12/12/1976,13,8,
7,1,1977/78,15/10/1977,05/03/1978,11,3,
8,1,1978,25/03/1978,13/08/1978,38,15,
9,1,1979,16/09/1979,23/12/1979,13,18,
10,1,1980,23/02/1980,01/06/1980,10,3,
11,1,1981,17/01/1981,03/05/1981,12,11,
12,1,1982,16/01/1982,25/04/1982,10,12,
13,1,1983,23/01/1983,29/05/1983,10,2,
14,1,1984,28/01/1984,28/05/1984,14,18,
15,1,1985,26/01/1985,31/07/1985,19,,
16,1,1986/87,30/08/1986,25/02/1987,11,38,
17,1,1987/88,11/09/1987,07/02/1988,9,38,
18,1,1988/89,02/09/1988,19/02/1989,1,13,
19,1,1989,06/09/1989,16/12/1989,18,11,
20,1,1990,18/08/1990,16/12/1990,8,11,
21,1,1991,02/02/1991,09/06/1991,11,,
22,1,1992,26/01/1992,19/07/1992,10,5,
23,1,1993,04/09/1993,19/12/1993,15,21,
24,1,1994,13/08/1994,18/12/1994,15,8,
25,1,1995,19/08/1995,17/12/1995,5,2,
26,1,1996,08/08/1996,15/12/1996,12,16,
27,1,1997,05/07/1997,21/12/1997,18,15,
28,1,1998,25/07/1998,23/12/1998,8,20,
29,1,1999,24/07/1999,22/12/1999,8,3,
30,1,2000/01,29/07/2000,18/01/2001,18,63,
31,1,2001,01/08/2001,23/12/2001,28,63,
32,1,2002,10/08/2002,15/12/2002,2,8,
33,1,2003,29/03/2003,14/12/2003,20,2,
34,1,2004,21/04/2004,19/12/2004,2,28,
35,1,2005,23/04/2005,04/12/2005,8,13,
36,1,2006,15/04/2006,03/12/2006,11,13,
37,1,2007,12/05/2007,02/12/2007,11,2,
38,1,2008,10/05/2008,07/12/2008,11,12,
39,1,2009,09/05/2009,06/12/2009,10,13,
40,1,2010,08/05/2010,05/12/2010,14,20,
41,1,2011,21/05/2011,04/12/2011,8,18,
42,1,2012,19/05/2012,02/12/2012,14,3,
43,1,2013,25/05/2013,08/12/2013,20,12,
44,1,2014,19/04/2014,07/12/2014,20,11,
45,1,2015,09/05/2015,06/12/2015,8,3,
46,1,2016,14/05/2016,11/12/2016,15,2,
47,1,2017,13/05/2017,03/12/2017,8,15,
48,1,2018,14/04/2018,02/12/2018,15,10,
49,1,2019,27/04/2019,08/12/2019,10,2,
50,1,2020/21,08/08/2020,25/02/2021,10,13,
51,1,2021,29/05/2021,09/12/2021,3,10,
52,1,2022,09/04/2022,13/11/2022,15,13,
53,1,2023,15/04/2023,06/12/2023,15,12,
54,1,2024,13/04/2024,08/12/2024,5,15,
55,1,2025,29/03/2025,07/12/2025,10,15,
