id,estadio,capacidade,local_id,inauguracao,ativo
1,Otávio Mangabeira (Fonte Nova),68000,1,1951,1
2,Estádio Gov. Magalhães Pinto (Mineirão),61846,3,1965,1
3,Estádio Jornalista Mário Filho (Maracanã),78838,4,1950,1
4,Adelmar da Costa Carvalho (Ilha do Retiro),35020,5,1937,1
5,Cícero Pompeu de Toledo (Morumbi),67428,6,1960,1
6,Paulo Machado de Carvalho (Pacaembu),37000,6,1940,1
7,Presidente Vargas (PV),20268,8,1940,1
8,Estádio Major Antônio Couto Pereira,40502,9,1932,1
9,Arena Fonte Nova,50000,1,2013,1
10,Parque Antártica (1901/02 - 1920/21)ver,27650,6,1902,1
11,Olímpico Monumental,46500,7,1954,1
12,José do Rego Maciel (Arruda),60044,5,1973,1
13,José Pinheiro Borda (Beira-Rio),50128,7,1969,1
14,Lourival Baptista (Arena Batistão),15500,12,1969,1
15,Governador Plácido Aderaldo Castelo (Castelão),63903,8,1973,1
16,Rei Pelé,17126,14,1970,1
17,Evandro Almeida (Baenão),13792,10,1917,1
18,Vivaldo Lima (Vivaldão),31000,11,1970,1
19,João Cláudio de Vasconcelos Machado (Machadão),35000,13,1972,1
20,Marechal Castelo Branco,0,5,0,1
21,Eládio de Barros Carvalho (Aflitos),19600,5,1939,1
22,Estádio Vasco da Gama (São Januário),21880,4,1927,1
23,Universitário Pedro Pedrossian (Morenão),45000,15,1900,1
24,Olímpico Pedro Ludovico,13500,17,2016,1
25,Orlando Scarpelli,19584,18,1960,1
26,Governador Alberto Tavares da Silva (Albertão),40000,20,1973,1
27,Engenheiro Alencar de Araripe,13500,21,1966,1
28,Nhozinho Santos,12891,22,1950,1
29,Brinco de Ouro da Princesa,29130,19,1953,1
30,Rei Pelé (Pelezão),20000,16,1966,1
31,Urbano Caldeira (Vila Belmiro),16068,2,1916,1
32,Pavilhão Escola Secundária Bordallo Pinheiro,0,,2010,1
33,Alfredo Schürig (Parque São Jorge),11036,6,1940,1
34,José Américo de Almeida Filho (Almeidão),25770,26,1975,1
35,Jacy Scaff (Estádio do Café),36000,34,1976,1
36,Moisés Lucarelli,19728,19,1948,1
37,Santa Cruz,29292,33,1968,1
38,"Kyocera Arena (2004/05 - 2007/08), Estádio Joaquim Américo Guimarães (Arena da Baixad (2007/08 - 2021/22), Estádio Joaquim Américo Guimarães (Ligga Arena) (2022/23 - 2022/23), Estádio Mário Celso Petrver",42372,9,1999,1
39,Heriberto Hülse,19300,36,1955,1
40,Belfort Duarte (1931/32 - 1976/77)ver,40502,9,1932,1
41,Cícero Pompeu de Toledo (Morumbis),67428,6,1960,1
42,Serra Dourada,50049,17,1975,1
43,Estádio Olímpico Monumental,0,7,0,1
44,Manoel Barradas (Barradão),30793,1,1991,1
45,Alfredo Jaconi,19924,31,1975,1
46,Plácido Aderaldo Castelo (Junco),21000,,1969,1
47,"Independência (1949/50 - 1985/86), Raimundo Sampaio (Independência) (1986/87 - 2010/11)ver",23018,3,1950,1
48,"Alacid Nunes (Mangueirão) (1977/78 - 1993/94), Jorn. Edgar Augusto Proença (Mangueirão) (1994/95 - 2001/02)ver",53645,10,1978,1
49,Epaminondas Mendes Brito (Ipatingão) (1981/82 - 2010/11)ver,22000,37,1982,1
50,Olímpico (1953/54 - 1979/80)ver,46500,7,1954,1
51,Complexo Poliesportivo Pinheirão,45000,9,1985,1
52,Anacleto Campanella,16000,35,1955,1
53,Caio Vianna Martins,15000,38,1941,1
54,Major José Levy Sobrinho,19833,39,1977,1
55,Sylvio Raulino de Oliveira (Cidadania),21000,32,1976,1
56,"Vail Chaves (1959/60 - 1989/90), Wilson Fernandes de Barros (1990/91 - 2001/02), Papa João Paulo II (2001/02 - 2009/10)ver",23000,40,1981,1
57,Fernando Charbub Farah (Gigante do Itiberê),24600,41,2004,1
58,Radialista Mario Helênio (Municipal de Juiz de Fora),31863,42,1988,1
59,Benedito Teixeira (Teixeirão),36426,43,1996,1
60,Bento Mendes de Freitas (Bento Freitas),18000,44,1943,1
61,"Paulo Constantino (1981/82 - 2001/02), Eduardo José Farah (2001/02 - 2011/12)ver",44414,45,1982,1
62,Olímpico Colosso da Lagoa,22000,46,1970,1
63,Durival Britto e Silva (Vila Capanema),16720,9,1949,1
64,Alcides Santos (Pici),8000,8,1973,1
65,Elmo Serejo Farias (Serejão),32000,47,1978,1
66,arenadailha (2015/16 - 2015/16)ver,15000,4,1965,1
67,Estádio Regional Willie Davids,23000,48,1957,1
68,Olímpico Regional Arnaldo Busatto,28125,49,1982,1
69,"Paulo Constantino (1981/82 - 2001/02), Eduardo José Farah (2001/02 - 2011/12)ver",44414,50,1982,1
70,Estádio Olímpico Nilton Santos (Engenhão),46931,4,2007,1
