id,partida_id,jogador_id,clube_id,tipo_evento,tipo_gol,minuto
1,1,9,1,Substituição,,
2,1,19,2,Substituição,,
3,1,23,1,Entrou,,
4,1,24,2,Entrou,,
5,2,34,3,Gol,Normal,48
6,2,37,4,Substituição,,
7,2,42,4,Gol,Normal,57
8,2,45,4,Substituição,,
9,2,47,4,Entrou,,
10,2,48,4,Entrou,,
11,3,57,5,Substituição,,
12,3,59,5,Substituição,,
13,3,70,6,Substituição,,
14,3,71,5,Entrou,,
15,3,72,5,Entrou,,
16,3,73,6,Entrou,,
17,4,79,7,Substituição,,
18,4,80,7,Gol,Normal,90
19,4,83,7,Substituição,,
20,4,90,8,Gol,Normal,24
21,4,91,8,Gol,Normal,7
22,4,93,8,Gol,Normal,37
23,4,94,8,Gol,Normal,86
24,4,96,7,Entrou,,
25,4,97,7,Entrou,,
26,5,103,9,Substituição,,
27,5,106,9,Gol,Normal,60
28,5,107,9,Substituição,,
29,5,112,10,Substituição,,
30,5,117,10,Substituição,,
31,5,120,9,Entrou,,
32,5,121,9,Entrou,,
33,5,122,10,Entrou,,
34,5,123,10,Entrou,,
35,6,128,11,Substituição,,
36,6,133,11,Substituição,,
37,6,138,12,Substituição,,
38,6,141,12,Substituição,,
39,6,144,12,Gol,Normal,11
40,6,144,12,Gol,Normal,81
41,6,145,12,Gol,Normal,85
42,6,146,11,Entrou,,
43,6,147,11,Entrou,,
44,6,148,12,Entrou,,
45,6,149,12,Entrou,,
46,7,156,13,Substituição,,
47,7,167,14,Substituição,,
48,7,172,13,Entrou,,
49,7,173,14,Entrou,,
50,8,177,15,Cartão Vermelho,,
51,8,181,15,Gol,Normal,38
52,8,183,15,Substituição,,
53,8,184,15,Substituição,,
54,8,191,16,Substituição,,
55,8,194,16,Substituição,,
56,8,196,15,Entrou,,
57,8,197,15,Entrou,,
58,8,198,16,Entrou,,
59,8,199,16,Entrou,,
60,8,199,16,Cartão Vermelho,,
