id,nome,nascimento,falecimento,nacionalidade,naturalidade,situacao
1,Jorge Silva Vieira,1934-07-18,Falecido - 2012-07-25 (78 anos),Brasil,Rio de Janeiro,
2,Mauro Ramos de Oliveira,1930-08-30,Falecido - 2002-09-18 (72 anos),Brasil,Poços de Caldas (MG),
3,Telê Santana da Silva,1931-07-26,Falecido - 2006-04-21 (74 anos),Brasil,Itabarito (MG),
4,Aírton Moreira,1917-12-31,Falecido - 1975-11-22 (57 anos),Brasil,Miracema (RJ),
5,Egídio Landolfi,1928-01-20,Falecido - 1998-00-00 (69 anos),Brasil,Laguna Carapã (MS),
6,Thomaz Soares da Silva,1921-09-14,Falecido - 2002-02-07 (80 anos),Brasil,Niterói (RJ),
7,Davi Ferreira,1926-05-15,Falecido - 2017-07-16 (91 anos),Brasil,Belo Horizonte,
8,Osvaldo da Silva,1926-01-14,Falecido - 1997-03-25 (71 anos),Brasil,Santos (SP),
9,João Carlos Batista Pinheiro,1932-01-13,Falecido - 2011-08-30 (79 anos),Brasil,Campos dos Goytacazes,
10,Manuel Fleitas Solich,1901-12-30,Falecido - 1984-03-24 (82 anos),Paraguai,Asunción,
11,Oswaldo Augusto Brandão,1916-09-18,Falecido - 1989-07-29 (72 anos),Brasil,Taquara (RS),
