estadio,partida
Estádio Gov. Magalhães Pinto (Mineirão) (BRA),1-1
Estádio Jornalista Mário Filho (Maracanã) (BRA),0-0
Estádio Major Antônio Couto Pereira (BRA),0-2
Estádio Jornalista Mário Filho (Maracanã) (BRA),0-2
Estádio Gov. Magalhães Pinto (Mineirão) (BRA),2-1
Estádio Gov. Magalhães Pinto (Mineirão) (BRA),1-1
Estádio Jornalista Mário Filho (Maracanã) (BRA),1-1
Estádio Gov. Magalhães Pinto (Mineirão) (BRA),2-0
Estádio Gov. Magalhães Pinto (Mineirão) (BRA),0-0
Estádio Jornalista Mário Filho (Maracanã) (BRA),0-1
Estádio Jornalista Mário Filho (Maracanã) (BRA),0-3
Estádio Gov. Magalhães Pinto (Mineirão) (BRA),4-0
Estádio Jornalista Mário Filho (Maracanã) (BRA),2-1
Estádio Jornalista Mário Filho (Maracanã) (BRA),1-1
